id,entity_id,setting_name,what_it_does,why_it_matters,how_to_path,default_state,requires_parent_account,priority,bypass_risk,volatility,source_url,last_verified,stage_explorer,stage_learner,stage_navigator,stage_voyager,stage_independent
wa_parent_managed,whatsapp,Parent-managed account for pre-teens,You set up and control the account: approve contacts and groups; review unknown message requests; settings gated by parent PIN,Purpose-built pre-teen messaging with parent approval on every new contact; messaging is excluded from the UK ban so this is the pathway app,Set up with both phones side by side per WhatsApp flow,New feature; opt in,true,essential,SIM swap to a fresh number restarts unmanaged; keep the number in your name,volatile,https://blog.whatsapp.com/introducing-parent-managed-accounts-on-whatsapp,2026-07-04,na,on_locked,on,parent_choice,na
wa_groups_contacts,whatsapp,Groups: My Contacts only,Only saved contacts can add your child to group chats,Random group adds are the WhatsApp bullying and scam vector,Settings > Privacy > Groups > My Contacts,Everyone,false,essential,Being added by a contact to a group full of strangers; teach the exit,durable,https://mamastillgotit.substack.com/p/the-parenting-digital-guide-check,2026-07-04,na,on,on,on,parent_choice
wa_profile_privacy,whatsapp,Profile photo; last seen and about to contacts only,Strangers see nothing about your child,Profile photos of children should not be publicly scrapeable,Settings > Privacy > set each to My Contacts,Everyone for photo,false,essential,None while set,durable,https://mamastillgotit.substack.com/p/the-parenting-digital-guide-check,2026-07-04,na,on,on,on,parent_choice
wa_live_location,whatsapp,Live location off by default,Only share live location deliberately and briefly with family,Persistent location shares to group chats leak physical patterns,Check active shares: Settings > Privacy > Live location,Off unless shared,false,recommended,Re-sharing in the moment; make it a named family rule,durable,https://mamastillgotit.substack.com/p/the-parenting-digital-guide-check,2026-07-04,na,on,on,parent_choice,parent_choice
wa_two_step,whatsapp,Two-step verification PIN,A PIN that stops anyone hijacking the WhatsApp account with a stolen code,Account takeover scams target teens; this closes the door,Settings > Account > Two-step verification,Off,false,recommended,Phishing for the PIN itself; never share it with anyone,durable,https://mamastillgotit.substack.com/p/the-parenting-digital-guide-check,2026-07-04,na,on,on,on,on
rb_parent_link,roblox,Link a parent account,Connects your age-checked account to your child's for full parental controls to age 15,Everything on Roblox now routes through this link including chat permissions and Trusted Friends approvals,Roblox Settings > Parental Controls > link account,Not linked,true,essential,Child on an unlinked account with a false age; June 2026 age checks close much of this,volatile,https://about.roblox.com/parental-controls,2026-07-04,on_locked,on_locked,on,parent_choice,na
rb_account_type,roblox,Correct account type: Kids or Select,Roblox Kids (5 to 8) has strictest defaults with chat off; Select (9 to 15) unlocks gradually; 16+ standard after age check,Worldwide from June 2026: no age check means no chat at all. The account type is the biggest single protection,Automatic via age check; verify in account settings,Assigned by age check,true,essential,Transition period allows self-declared age for game access,volatile,https://helpingsurvivors.org/news/roblox-launches-kids-and-select-accounts-worldwide-with-new-child-safety-controls/,2026-07-04,on_locked,on_locked,on,parent_choice,na
rb_content_maturity,roblox,Content maturity limit,Caps games by maturity rating; moving to PEGI ratings; block or allow individual games,User-generated platform so ratings vary; per-game block list is your scalpel,Settings > Parental Controls > Content maturity / Allowed experiences,Minimal to Moderate by account type,true,essential,Experiences misrated by creators; report and block,volatile,https://about.roblox.com/parental-controls,2026-07-04,on_locked,on_locked,on,parent_choice,na
rb_chat_controls,roblox,Chat controls per channel,Separate controls for in-game chat; direct messages and party chat; off by default under 9,Chat is where grooming happens; know the three channels and set each,Parental Controls > Communication,Off under 9; graduated by age,true,essential,Moving the chat to Discord or Snapchat; the migration is the risk,volatile,https://about.roblox.com/safety,2026-07-04,on_locked,on_locked,on,parent_choice,na
rb_trusted_friends,roblox,Review Trusted Friends and connections,Cross-age chat only with Trusted Friends; under 13 additions need your approval; review the list monthly,Parents are not proactively notified of every teen connection; the review habit is on you,Parental Controls > Connections / Trusted Friends,Parent approval under 13,true,essential,In-person QR verification abused by older contacts met offline,volatile,https://about.roblox.com/newsroom/2026/04/expanding-trusted-friends,2026-07-04,na,on_locked,on,parent_choice,na
rb_spending,roblox,Monthly spending limit,Caps Robux purchases per month with visibility of spend,Robux pressure is constant and social; a named monthly number ends negotiation,Parental Controls > Spending,None,true,essential,Gift cards from relatives; brief the grandparents,durable,https://about.roblox.com/parental-controls,2026-07-04,on_locked,on_locked,on,parent_choice,na
rb_screen_time,roblox,Screen time limit,Daily Roblox time cap set from the parent dashboard,In-platform cap that survives device switching,Parental Controls > Screen time,Off,true,recommended,Browser Roblox on another device; pair with device limits,semi_volatile,https://about.roblox.com/parental-controls,2026-07-04,on,on,on,parent_choice,na
fn_cabined_account,fortnite,Cabined account and parental PIN,Under 13s get a limited account until a parent consents; PIN gates all settings,Epic's consent gate is real; do not enter your PIN to wave everything through,Epic account > Parental controls > set PIN,Cabined under 13,true,essential,Borrowed older accounts; check whose account is signed in,semi_volatile,https://www.epicgames.com/site/en-US/parental-controls,2026-07-04,na,on_locked,on,parent_choice,parent_choice
fn_chat_filters,fortnite,Voice and text chat filters,Turn voice chat off or friends-only; filter mature language in text,Squad voice chat with strangers is default culture in Fortnite; decide deliberately,Parental controls > Voice / Text chat,Filtered for minors,true,essential,Discord voice on the side,durable,https://www.epicgames.com/site/en-US/parental-controls,2026-07-04,na,on_locked,on,parent_choice,parent_choice
fn_spending,fortnite,Purchase approval,Requires PIN or approval for V-Bucks and item shop purchases,The item shop is engineered FOMO; the approval step interrupts it,Parental controls > Purchasing,Off,true,essential,Gift cards,durable,https://www.epicgames.com/site/en-US/parental-controls,2026-07-04,na,on_locked,on,on,parent_choice
mc_xbox_privacy,minecraft,Xbox privacy settings govern Minecraft,Multiplayer; clubs and chat in Minecraft follow the child's Xbox account settings on every platform including phones,Families miss that a Microsoft setting controls Minecraft on an iPad,account.xbox.com/settings > [Child] > Xbox privacy,Child defaults,true,essential,Third-party servers have their own chat cultures; know which servers,durable,https://www.minecraft.net/en-us/article/parents--guide-minecraft,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
mc_realms,minecraft,Realms or LAN only multiplayer,Private invite-only worlds instead of public servers,Public servers are unmoderated; Realms keeps multiplayer inside the friend group,Play on a family-owned Realm; disable server joins in Xbox privacy,Public servers reachable,true,recommended,Friend codes shared onward,durable,https://www.minecraft.net/en-us/article/parents--guide-minecraft,2026-07-04,on,on,parent_choice,parent_choice,parent_choice
dc_family_center,discord,Discord Family Center,Weekly summary of servers joined and users messaged; no message content,Discord is where locked-down chats migrate to; visibility here catches the migration,User Settings > Family Center > invite,Off; opt in,true,essential,Teen can disable; alt accounts invisible,semi_volatile,https://discord.com/safety-family-center,2026-07-04,na,na,on,on,parent_choice
dc_dm_filters,discord,DM and explicit content filters,Scans and blocks explicit images in DMs; restricts DMs from non-friends,Direct image filtering matters on a platform with no content moderation baseline in private spaces,User Settings > Privacy & Safety > Keep me safe,Filter friends-excluded for teens,false,essential,Links out to unfiltered content,semi_volatile,https://discord.com/safety-family-center,2026-07-04,na,na,on,on,parent_choice
dc_server_review,discord,Review server memberships together,Anyone can create a server; know which communities your teen is in,Server culture varies from homework groups to the genuinely dark; the review is a conversation not a search,Family Center weekly summary + monthly chat,None,true,recommended,Second account,durable,https://mamastillgotit.substack.com/p/the-parenting-digital-guide-check,2026-07-04,na,na,on,on,parent_choice
fb_teen_account,facebook,Teen Account active on Facebook and Messenger,13+ content settings and contact limits extended to Facebook and Messenger globally from June 2026,Younger teens live in Messenger group chats even when they ignore the Facebook feed,Automatic under 18 with real birthday; verify account type,Auto for under 18s,false,essential,False birthday,volatile,https://about.fb.com/news/2026/06/strengthening-teen-accounts-with-new-safety-updates-on-instagram-and-facebook/,2026-07-04,na,na,on,on,parent_choice
nf_kids_profile,netflix,Kids profile with maturity rating,Per-profile content caps with a simplified kids interface,Ninety seconds of setup for the most watched app in most homes,Profiles > Add profile > Kids; set maturity rating,No kids profile,false,essential,Switching to an unlocked adult profile,durable,https://help.netflix.com/en/node/264,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
nf_profile_pin,netflix,PIN lock adult profiles,Requires a PIN to open any profile above the child's rating,Closes the profile-switch loophole,Account > Profile & parental controls > Profile lock,Off,false,essential,Watching over a sibling's shoulder,durable,https://help.netflix.com/en/node/264,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
dp_junior_mode,disney_plus,Junior Mode and profile ratings,Kid profile with simplified UI and content caps; kids profile exit protection,Same principle as Netflix; do both at once,Profiles > Edit > Junior Mode / content rating + PIN adult profiles,Junior Mode optional,false,essential,Profile switching without exit protection,durable,https://help.disneyplus.com/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
sp_explicit_filter,spotify,Explicit content filter,Blocks tracks tagged explicit on the child's account,Partial because podcasts are largely untagged; still worth setting,Settings > Content preferences > Allow explicit content off,Explicit allowed,false,recommended,Podcasts and user uploads slip the tags,semi_volatile,https://support.spotify.com/,2026-07-04,on,on,on,parent_choice,parent_choice
x_no_controls,x_twitter,Honest position: no parental controls exist,X has no supervision or family tools and permits adult content on platform,Settings cannot make X age appropriate for under 16s. The honest guidance is the pathway not the toggle. Named in scope for the UK ban,No parent tooling; account-level sensitive media settings only,Adult content reachable,false,essential,None; the gap is structural,volatile,https://help.x.com/en/safety-and-security,2026-07-04,na,na,off,off,parent_choice
