requirement_id,source_document,source_status,in_force,phase,block,strand,item_no,requirement_text_verbatim,also_named_by_kcsie_2026,satisfiable_by_pupil_lessons,coverage,modules_that_teach_it,evidence_in_the_lessons,what_is_missing
RSHE-S-OSA-15,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,15,"That AI chatbots are an example of how AI is rapidly developing, and that these can pose risks by creating fake intimacy or offering harmful advice. It is important to be able to critically think about new types of technology as they appear online and how they might pose a risk.",para 165 contact: harmful online interaction with other users or generative AI applications that simulate this,Yes,FULL,ks3-22-when-an-ai-acts-like-a-friend; ks5-20-ai-mastery-data-rights; ks3-24-is-it-doing-my-thinking,"ks3-22 is a 31 slide module on AI companionship. ks5-20 teaches the difference between a chatbot and an agent: 'With a chatbot you ask, is this answer right? With an agent you must ask, what is it allowed to do without me.' ks3-24 teaches offloading and cognitive cost.",
RSHE-S-WO-1,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Wellbeing online,1,"About the benefits of limiting time spent online, the risks of excessive time spent on electronic devices and the impact of positive and negative content online on their own and others’ mental and physical wellbeing.",,Yes,FULL,ks3-10-mood-and-screens,"ks3-10 teaches the mood audit (better, worse or nothing) and the research position honestly: the link between raw hours and wellbeing is real but tiny, and what matters is what the time is made of.",
RSHE-S-WO-2,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Wellbeing online,2,"The similarities and differences between the online world and the physical world, including: the impact of unhealthy or obsessive comparison with others online (including through setting unrealistic expectations for body image); how people may curate a specific image of their life online; the impact that an over-reliance on online relationships, including relationships formed through social media, can have.",,Yes,FULL,ks3-10-mood-and-screens; ks3-14-bodies-image-pressure,"ks3-10 defines comparing as 'Measuring your real, unedited life against someone else's chosen highlights' and sets it against connecting. ks3-14 covers body image and edited content.","Closed by migration 309. ks3-10 now asks the class which of their connections would survive the app closing, which is the over reliance question in the form a fourteen year old will actually answer."
RSHE-S-WO-3,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Wellbeing online,3,"How to identify harmful behaviours online (including bullying, abuse or harassment) and how to report, or find support, if they have been affected by those behaviours.","para 165 conduct: online bullying; para 160: the concepts of, and laws relating to all forms of sexual harassment, and abuse, and how to access support",Yes,FULL,ks3-27-when-it-turns-on-you; ks4-29-did-not-go-looking,"ks3-27 teaches identifying the four named behaviours and the routes: report and block behind three dots, the safeguarding lead by name, Childline on 0800 1111. ks4-29 teaches the same routes for content that arrives unasked, including Report Harmful Content and Samaritans, and that there is no time limit on telling somebody.","Closed by migrations 313 and 315. Support after being affected is taught in ks4-29 s12 'What helps afterwards': involuntary re seeing is an ordinary response, saying it out loud to one person shortens it, and the free routes are given with hours and ages."
RSHE-S-WO-4,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Wellbeing online,4,"The risks related to online gambling and gambling-like content within gaming, including the accumulation of debt.",para 165 commerce: risks such as online gambling,Yes,FULL,ks4-28-the-money-and-the-odds; ks2-05-gaming-time-spend,"ks4-28 is a 31 slide module. s6 'The price you actually paid' and s8 'Two conversions and a leftover' teach how a game currency hides price and why the pack never divides into the crate. s9 'What you actually bought' names paying for a chance. s11 'The odds, and who set them' teaches the house edge from a roulette wheel. s17 'The loop, and how fast it runs' teaches speed as the risk, with the 2025 stake caps. s18 'What it does to a person' teaches the debt: money gone before the feeling of spending, borrowing, then hiding the borrowing.","Closed by migration 314. The accumulation of debt clause is taught as mechanism rather than figure, because no reliable UK figure exists for under eighteens, and the teacher notes say so."
RSHE-S-WO-5,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Wellbeing online,5,"How advertising and information is targeted at them and how to be a discerning consumer of information online, understanding the prevalence of misinformation and disinformation online, including conspiracy theories.","para 165 content: misinformation, disinformation (including fake news) and conspiracy theories",Yes,FULL,ks3-12-misinfo-deepfakes; ks4-15-manipulation-persuasion,ks3-12 teaches misinformation and disinformation with distinct definitions. ks4-15 teaches targeting and the persuasion industry.,"Closed by migration 309. ks3-12 now teaches the conspiracy theory as a third shape with a tell: it is built so that evidence against it counts as proof of the cover up, and a claim nothing can disprove is unfalsifiable rather than strong. Deliberately no worked example, because naming a live theory in a classroom hands it an audience."
RSHE-S-WO-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Wellbeing online,6,"The risks of illegal behaviours online, including drug and knife supply or the sale or purchasing of illicit drugs online.","para 165 contact: adults posing as children or young adults with the intention to groom or exploit them for sexual, criminal, financial or other purposes",Yes,FULL,ks4-29-did-not-go-looking,"ks4-29 s17 'What the offer actually is' teaches recruitment into drug supply as a friendly offer from somebody half known that works like a debt, and knife supply as a website that is not a loophole: selling to under 18s has been an offence for decades and since 2022 delivering one bought online to a home address is too. s18 checks that money out of proportion to the task is the sign. s19 'The part of this that is on your side' states that supplying is a serious offence, that the offer alone completes it, that being sent a message is not an offence while passing it on can be, and that there is a defence for under 18s who were exploited, which does not stop arrest.","Closed by migration 315. County lines is a keyword on s5. The defence and its limits are stated in the same breath, because a pupil told the comforting version and then arrested will decide the teacher lied."
RSHE-S-WO-7,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Wellbeing online,7,"The serious risks of viewing online content that promotes self-harm, suicide or violence, including how to safely report this material and how to access support after viewing it.","para 165 content: self-harm, suicide, extreme sexual or physical violence",Yes,FULL,ks4-29-did-not-go-looking,"ks4-29 s6 'Why it found you' teaches that a feed optimising for attention reaches distressing content without anyone choosing it, with the OxWell figure: about a third of pupils aged 11 to 18 in England saw self harm content in the past month, most without looking. s8 'You are not in trouble' is the spine. s9 'What it does to look' states the risk accurately: most are not harmed, repetition normalises, and that matters most for whoever is already struggling. s12 'What helps afterwards' gives Samaritans 116 123, Childline 0800 1111 and HOPELINE247 0800 068 4141. s21 'Stop it, report it, say it' is the reporting route with Report Harmful Content as the escalation.","Closed by migration 315. Written inside Samaritans guidance: no method is named or described anywhere in the module. The practise sort puts the same violent video in two rows, seen once and still seen three days later, because what to do depends on what it is doing to you."
RSHE-P-RKR-9,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),"Respectful, kind relationships",9,"The different types of bullying (including online bullying), the impact of bullying, responsibilities of bystanders (primarily reporting bullying to an adult), and how to get help.",para 165 conduct: online bullying,Yes,FULL,ks2-08-kind-safe-online,"ks2-08 teaches the difference between one unkind moment and real bullying, the bystander's position in a pile on, and the three moves ending in telling an adult.",
RSHE-P-BS-2,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Being Safe,2,The concept of privacy and its implications for both children and adults; including that it is not always right to keep secrets if they relate to being safe.,,Yes,FULL,ks1-02-kind-screens-calm-bodies; ks2-07-privacy-reputation,"ks1-02 teaches that telling a grown up about a feeling is always brave and never naughty, with the wrong answer 'Nobody, I keep it a secret' answered directly. ks2-07 teaches privacy as choosing rather than hiding.",
RSHE-P-BS-4,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Being Safe,4,"How to respond safely and appropriately to adults they may encounter (in all contexts, including online), including those they do and do not know.",para 165 contact: adults posing as children or young adults with the intention to groom or exploit them,Yes,FULL,ks2-07-privacy-reputation,ks2-07 s12 puts pupils in a group chat containing people they have never met and asks what to do.,"Closed by migration 310, by the same lines that closed RSHE-P-OSA-2. The rule is about what a child does when an adult they have not met asks for something, rather than about spotting a dangerous person."
RSHE-P-BS-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Being Safe,6,"How to report abuse, concerns about something seen online or experienced in real life, or feelings of being unsafe or feeling bad about any adult and the vocabulary and confidence needed to do so.",para 160: when and where to seek help,Yes,FULL,eyfs-01-screens-kindness; ks1-02-kind-screens-calm-bodies; ks2-08-kind-safe-online,"The reporting vocabulary is built from Reception: feel it, name it, tell a grown up, and never in trouble for telling. ks2-08 adds save the evidence and tell someone who can help.",
RSHE-P-GW-7,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,General wellbeing,7,That bullying (including cyberbullying) has a negative and often lasting impact on mental wellbeing and how to seek help for themselves or others.,para 165 conduct: online bullying,Yes,FULL,ks2-08-kind-safe-online,ks2-08 teaches the lasting impact of a pile on and how to get help.,
RSHE-P-GW-9,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,General wellbeing,9,"Where and how to seek support (including recognising the triggers for seeking support), including who in school they should speak to if they are worried about their own or someone else’s mental wellbeing or ability to control their emotions (including issues arising online).",para 160: when and where to seek help,Yes,FULL,eyfs-01-screens-kindness; ks1-02-kind-screens-calm-bodies; ks2-08-kind-safe-online,"eyfs-01 has every child name a trusted grown up at home and at school. ks1-02 'Screens change how bodies feel' teaches the three triggers for telling: the feeling will not go away by itself, it comes back tomorrow, or it wants to be kept secret, and that one is enough. ks2-08 'Telling is strength, not snitching' teaches that in this school there is a grown up whose actual job is this, and the script stops the teacher to name the designated safeguarding lead out loud and write it on the board.","Closed by migration 316. Who in school could not be printed on a slide because only the school can name its staff, so the lesson makes the teacher say it in the moment, which is the one moment in the primary scheme only they can deliver."
RSHE-S-RR-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Respectful relationships,6,"The different types of bullying (including online bullying), the impact of bullying, the responsibilities of bystanders to report bullying and how and where to get help.",para 165 conduct: online bullying,Yes,FULL,ks3-27-when-it-turns-on-you; ks2-08-kind-safe-online,"ks3-27 s12 defines bullying as repeated, aimed at one person, with a power difference, and s13 separates it from a row. s8 'The quiet majority is the whole audience' teaches the bystander's position: to the person targeted, silence and agreement look the same. s19 'If it is not you' gives three bystander moves. s18 gives where to get help. ks2-08 teaches the same at KS2.","Closed by migration 313. The impact clause is taught through the five message scenario and the sort, rather than as a list of effects."
RSHE-S-RR-9,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Respectful relationships,9,"How stereotypes, in particular stereotypes based on sex, gender reassignment, race, religion, sexual orientation or disability, can cause damage (e.g. how they might normalise non-consensual behaviour or encourage prejudice). Pupils should be equipped to recognise misogyny and other forms of prejudice.","para 160: stereotyping, prejudice and equality; Annex C records further references to misogyny added in 2026",Yes,FULL,ks4-18-radicalisation-misogyny,"ks4-18 teaches recognising misogyny and the pipeline that delivers it, and 'Misogyny is the most common on ramp' now teaches that the same machine runs on race, on religion, on disability, on sexual orientation and on trans people: a stereotype arrives as a joke, agreeing gets rewarded, the feed brings more, and a stereotype repeated often enough stops sounding like an opinion. The normalising clause lands as the road by which treating a person as though their answer does not matter starts to seem ordinary.","Closed by migration 316. Gender reassignment is taught as trans people, the plain words a class uses, and the six characteristics are said once at a flat pace rather than dwelt on, so the slide stays a mechanism and not a lecture."
RSHE-S-RR-11,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Respectful relationships,11,"How pornography can negatively influence sexual attitudes and behaviours, including by normalising harmful sexual behaviours and by disempowering some people, especially women, to feel a sense of autonomy over their own body and providing some people with a sense of sexual entitlement to the bodies of others.",,Yes,FULL,ks3-14-bodies-image-pressure,ks3-14 teaches that made content including pornography is not a guide to real bodies or real relationships.,"Closed by migration 309, by the same lines that closed RSHE-S-OSA-11. The entitlement clause lands as the expectation that another person owes them something."
RSHE-S-RR-12,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Respectful relationships,12,"Pupils should have an opportunity to discuss how some sub-cultures might influence our understanding of sexual ethics, including the sexual norms endorsed by so-called “involuntary celibates” (incels) or online influencers.",para 160: misogynistic influencers,Yes,FULL,ks4-18-radicalisation-misogyny; ks4-15-manipulation-persuasion,ks4-18 covers incel and influencer communities as a recruitment pipeline. ks4-15 covers influencers as a commercial mechanism.,"Closed by migration 311. ks4-18 now names what is being sold underneath the pipeline: that attraction is a ranking, that women owe men something, and that anyone struggling has been cheated rather than is simply young."
RSHE-S-BS-1,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Being Safe,1,"How to recognise, respect and communicate consent and boundaries in relationships, including in early romantic relationships (in all contexts, including online) and early sexual relationships that might involve kissing or touching. That kindness and care for others requires more than just consent.","para 160: boundaries, consent and kindness in relationships",Yes,FULL,ks4-16-consent-images-law,"ks4-16 'What consent actually is' teaches the four properties, freely given, specific, ongoing and reversible, and now teaches that they were never only about images: they are what consent is for going further, meeting up, being touched, being filmed, being posted. Exactly the same in a room and on a phone, and the phone is the harder one because a message makes it so much easier to keep asking.","Closed by migration 316. The guidance's own words are in all contexts, including online, and the module now teaches the general rule before narrowing to images, because taught the other way round it sounds like a rule about photographs. The kissing and touching clause is carried by the list: being touched."
RSHE-S-BS-2,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Being Safe,2,"That there are a range of strategies for identifying, resisting and understanding pressure in relationships from peers or others, including sexual pressure, and how to avoid putting pressure on others.",,Yes,FULL,ks4-17-sextortion; ks4-15-manipulation-persuasion,"ks4-15 teaches naming the technique as the defence. ks4-17 'The scripts they use' teaches the criminal pressure scripts and now the ordinary ones between people who know each other: asking again after a no, going quiet until somebody gives in, if you actually liked me, everyone else already has. None is a request, all four are a wearing down, and a no does not need a reason and does not expire. Then the half nobody teaches: read your own messages for those four moves.","Closed by migration 316. How to avoid putting pressure on others is taught as a check on the pupil's own sent messages, said once with no show of hands, because a pupil who recognises themselves needs the sentence, not the spotlight."
RSHE-S-BS-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Being Safe,6,"That sexual harassment includes unsolicited sexual language / attention / touching, taking and/or sharing intimate or sexual images without consent, public sexual harassment, pressuring other people to do sexual things, and upskirting.","para 160: what constitutes sexual harassment and sexual violence and why these are always unacceptable, emphasising that it is never the fault of the person experiencing it",Yes,FULL,ks4-16-consent-images-law,Taking and sharing intimate images without consent is taught in full at ks4-16.,"Closed by migration 309. The module now names the category: sharing an image without consent sits inside sexual harassment, which also covers unwanted sexual messages or attention, pressuring someone into anything sexual, and upskirting. The non digital examples in the requirement belong to your wider RSE."
RSHE-S-BS-11,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Being Safe,11,"The concepts and laws relating to harms which are exploitative, including sexual exploitation, criminal exploitation and abuse, grooming, and financial exploitation.","para 165 contact: adults posing as children or young adults with the intention to groom or exploit them for sexual, criminal, financial or other purposes",Yes,FULL,ks4-17-sextortion; ks4-29-did-not-go-looking,"ks4-17 'What sextortion is' now teaches the family: exploitation is somebody getting something out of you using a power they have and you do not, sexual exploitation uses sex, criminal exploitation uses you to carry or to sell, financial exploitation uses your money, abuse is the harm underneath, and grooming is the part that comes first in every one. ks4-29 teaches the law on criminal exploitation: the offer alone is the offence, being sent a message is not, and there is a defence for under 18s who were pushed, tricked or threatened, which does not stop arrest.","Closed by migrations 316 and 315. The concepts are taught as one family with one opening move, because learning the move transfers to a harm the pupil has not met yet, and the laws are stated with their limits in the same breath."
RSHE-S-BS-16,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Being Safe,16,"How to seek support for their own worrying or abusive behaviour or for worrying or abusive behaviour they have experienced from others, including information on where to report abuse, and where to seek medical attention when required, for example after an assault.",para 160: how to access support; and when and where to seek help,Yes,FULL,ks4-16-consent-images-law; ks4-17-sextortion,"ks4-16 'And something can be done' now teaches that the same door opens the other way: if it is your own behaviour worrying you, if you pressured somebody or sent something on, telling an adult early is still the thing that changes what happens next and is treated very differently from being found out later. If you have been physically hurt, that is a GP, or 111, or A and E, and going is not an admission of anything. ks4-17 teaches three lifelines and ks4-16 teaches Report Remove.","Closed by migration 316. The own behaviour lines are read in the same voice as the rest with no change of tone, because a pupil in that position is listening for one and will stop listening if they hear it."
RSHE-S-PS-2,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Personal safety,2,"How to recognise and manage peer influence in relation to risk-taking behaviour and personal safety, including peer influence online and on social media.",para 165 contact: peer-to-peer pressure,Yes,FULL,ks3-12-misinfo-deepfakes; ks4-15-manipulation-persuasion; ks3-11-social-workarounds,ks3-12 answers 'whether everyone else is doing it' with 'Everyone else doing it changes nothing about what it exposes you to.' ks4-15 teaches FOMO as an engineered worry. ks3-11 teaches the workaround as a social pressure.,
RSHE-S-PS-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Personal safety,6,"The risks and signs that they may be at risk of grooming or exploitation, and how to seek help where there is a concern.",para 165 contact: adults posing as children or young adults with the intention to groom or exploit them,Yes,FULL,ks4-17-sextortion; ks4-18-radicalisation-misogyny; ks3-22-when-an-ai-acts-like-a-friend,"ks4-17 teaches the grooming shape of a sextortion approach. ks4-18 teaches isolate, flatter, escalate.","Closed by migration 311. ks4-17 now teaches the shape from the inside, where it feels like being noticed rather than like a script: it moves fast, it moves private, it flatters harder than anyone in your actual life, and at some point it asks you to keep it from everyone."
RSHE-S-MW-8,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Health and wellbeing,Mental wellbeing,8,"That gambling can lead to serious mental health harms, including anxiety, depression, and suicide, and that some gambling products are more likely to cause these harms than others.",para 165 commerce: risks such as online gambling,Yes,FULL,ks4-28-the-money-and-the-odds,"ks4-28 s18 'What it does to a person' teaches that gambling harm starts with money and is not mainly about money: borrowing, hiding, not sleeping, lying to people close to you, a background dread, and that it is linked with anxiety and with depression and at its most serious with suicide, which is why there are NHS clinics for it. s17 teaches that products with identical odds do different amounts of harm and that speed is what the law acts on, with the £5 and £2 caps. s19 'Where to take it' gives self exclusion, the safeguarding lead, and the National Gambling Helpline on 0808 8020 133 with no minimum age.","Closed by migration 314. The slide says linked with rather than causes, because Public Health England's 2021 review found the association and said the causal link is not established, and the teacher notes carry that."
KCSIE-1,Keeping Children Safe in Education (statutory safeguarding),STATUTORY SAFEGUARDING,,All,Duties that are not teaching requirements,,,"Every member of staff reads Part one and knows the school's safeguarding systems, the DSL and deputy, and the referral routes.",,No,NOT A LESSON REQUIREMENT,,"The Hub carries a DSL page, a CPD page and 10 minute staff briefings for the safeguarding flagged modules.","Staff reading, training and the school's own systems. No scheme of work discharges this."
KCSIE-2,Keeping Children Safe in Education (statutory safeguarding),STATUTORY SAFEGUARDING,,All,Duties that are not teaching requirements,,,"Concerns are reported to the DSL without delay, recorded with a summary, actions, decisions, rationale and outcomes, and information is shared where necessary to protect a child.",,No,NOT A LESSON REQUIREMENT,,"Every flagged module carries a DSL note and disclosure handling written into the script, so a disclosure during a lesson lands in the school's own process.",Recording and referral happen in the school's own systems. This platform holds no pupil data and cannot hold a record.
KCSIE-3,Keeping Children Safe in Education (statutory safeguarding),STATUTORY SAFEGUARDING,,All,Duties that are not teaching requirements,,,"Allegations about staff, including supply staff, trainees, volunteers and contractors, are managed under the school's procedure, and whistleblowing routes are known.",,No,NOT A LESSON REQUIREMENT,,None. Out of scope.,Entirely the school's. The NSPCC whistleblowing line is 0800 028 0285.
FILT-1,"Filtering and monitoring (technical standards, referenced by KCSIE)",TECHNICAL / GOVERNANCE STANDARD,,All,Duties that are not teaching requirements,,,"The school has appropriate filtering and monitoring in place, reviewed at least annually, with roles assigned.",,No,NOT A LESSON REQUIREMENT,,None.,"A technical and governance duty. Teaching pupils about online safety does not touch it, and no claim on any Guided Childhood page should imply otherwise."
POL-1,"RSHE statutory guidance, Developing a policy","STATUTORY CURRICULUM GUIDANCE, non teaching duty",,All,Duties that are not teaching requirements,,,"The school has a written RSE policy, consults parents on it, publishes it and makes it available free of charge.",,No,NOT A LESSON REQUIREMENT,,"The Hub policy page supplies model text a school can adapt, and the parent pack supplies consultation material.","The policy is the school's, adopted by its governing body. Supplying text is not the same as having a policy."
POL-2,"RSHE statutory guidance, Openness with parents","STATUTORY CURRICULUM GUIDANCE, non teaching duty",,All,Duties that are not teaching requirements,,,"Parents can see the materials used to teach RSHE, and the school sets out its withdrawal process for sex education.",,No,NOT A LESSON REQUIREMENT,,"The licence explicitly permits showing any lesson to a parent, and per lesson parent notes and a parent pack are provided. This scheme teaches no sex education, so the withdrawal right does not bite on it.",The school still runs the viewing route and the withdrawal process.
POL-3,"Data protection (UK GDPR, DPIA)","STATUTORY CURRICULUM GUIDANCE, non teaching duty",,All,Duties that are not teaching requirements,,,The school completes a DPIA where required and records its lawful basis and retention.,,No,NOT A LESSON REQUIREMENT,,"The Hub data protection page supplies the processing description and consultation evidence. The platform holds no pupil names, logins or profiling, which keeps the assessment small.",The DPIA is the school's to complete and sign.
GOV-1,"RSHE statutory guidance, Governors and Trustees","STATUTORY CURRICULUM GUIDANCE, non teaching duty",,All,Duties that are not teaching requirements,,,Governors assure themselves that RSHE is taught and hold leaders to account for the quality of provision.,,No,NOT A LESSON REQUIREMENT,,"The mapping matrix, year plan and printed learning record are the paper a governor can read.",Assurance and the judgement of quality are the governing body's.
